n
179
133
137
181
73
141
184
5
110
145
192
52
200
101
253
230
26
44
187
98
183
23
121
6
169
132
155
216
76
162
83
143
164
161
15
231
139
219
79
38
120
246
144
70
39
108
194
197
54
157
196
113
86
17
118
60
172
58
36
88
222
127
199
42
19
242
104
206
122
117
7
10
102
240
185
138
13
175
238
236
91
229
160
250
124
212
33
41
12
203
226
209
136
234
158
130
151
64
218
53
247
24
81
220
95
223
221
178
166
150
190
195
47
215
177
72
147
134
99
174
49
28
14
170
168
115
29
51
207
228
103
107
119
182
251
57
105
202
80
100
156
59
37
154
46
43
245
180
126
75
244
65
125
68
198
128
48
208
93
227
106
66
131
63
248
146
201
82
112
3
94
191
171
31
96
116
67
186
34
217
8
123
129
77
27
20
85
249
213
111
74
62
189
235
135
78
193
232
16
50
214
97
56
241
204
22
30
148
239
87
25
205
40
165
109
152
153
4
188
55
89
149
21
90
92
1
71
243
84
11
9
173
142
225
61
114
163
211
224
176
252
45
210
233
32
140
35
18
2
159
167
237
69
