x (mm),y (mm),x (m),y (m), pos_x ,pos_y,n
-81538.002,3625.0838,-81.538002,3.6250838,8.461998,3.6250838,70
-77419.1677,8048.3886,-77.4191677,8.0483886,12.5808323,8.0483886,71
-74925.519,5237.8542,-74.925519,5.2378542,15.074481,5.2378542,72
-74925.519,6637.8542,-74.925519,6.6378542,15.074481,6.6378542,73
-74925.519,8048.3886,-74.925519,8.0483886,15.074481,8.0483886,74
-74925.519,3827.3198,-74.925519,3.8273198,15.074481,3.8273198,75
-77419.1677,6637.8542,-77.4191677,6.6378542,12.5808323,6.6378542,76
-77419.1677,5237.8542,-77.4191677,5.2378542,12.5808323,5.2378542,77
-77419.1677,3827.3198,-77.4191677,3.8273198,12.5808323,3.8273198,78
-79044.3533,6435.6182,-79.0443533,6.4356182,10.9556467,6.4356182,79
-89730.2462,6655.1095,-89.7302462,6.6551095,0.2697538,6.6551095,80
-88319.7118,6655.1095,-88.3197118,6.6551095,1.6802882,6.6551095,81
-88319.7118,4752.2093,-88.3197118,4.7522093,1.6802882,4.7522093,82
-89760.2462,8097.2093,-89.7602462,8.0972093,0.2397538,8.0972093,83
-89760.2462,10000.1095,-89.7602462,10.0001095,0.2397538,10.0001095,84
-88349.7118,10000.1095,-88.3497118,10.0001095,1.6502882,10.0001095,85
-88349.7118,8097.2093,-88.3497118,8.0972093,1.6502882,8.0972093,86
-89730.2462,4752.2093,-89.7302462,4.7522093,0.2697538,4.7522093,87
-83893.3729,2847.2154,-83.8933729,2.8472154,6.1066271,2.8472154,88
-83893.3729,4257.7498,-83.8933729,4.2577498,6.1066271,4.2577498,89
-85200.6296,7041.0765,-85.2006296,7.0410765,4.7993704,7.0410765,90
-86387.0216,2847.2154,-86.3870216,2.8472154,3.6129784,2.8472154,91
-89904.7951,3193.5806,-89.9047951,3.1935806,0.0952049,3.1935806,92
-87411.1464,3193.5806,-87.4111464,3.1935806,2.5888536,3.1935806,93
-86387.0216,4257.7498,-86.3870216,4.2577498,3.6129784,4.2577498,94
-76140.3314,9631.3554,-76.1403314,9.6313554,13.8596686,9.6313554,95
-71608.6637,11410.0269,-71.6086637,11.4100269,18.3913363,11.4100269,96
-69115.015,10010.0269,-69.115015,10.0100269,20.884985,10.0100269,97
-71608.6637,10010.0269,-71.6086637,10.0100269,18.3913363,10.0100269,98
-69115.015,11410.0269,-69.115015,11.4100269,20.884985,11.4100269,99
-65889.1008,4849.078,-65.8891008,4.849078,24.1108992,4.849078,100
-69115.015,12810.0269,-69.115015,12.8100269,20.884985,12.8100269,101
-71608.6637,12810.0269,-71.6086637,12.8100269,18.3913363,12.8100269,102
-70329.8274,8290.0935,-70.3298274,8.2900935,19.6701726,8.2900935,103
-65778.9054,10010.0269,-65.7789054,10.0100269,24.2210946,10.0100269,104
-68272.5541,10010.0269,-68.2725541,10.0100269,21.7274459,10.0100269,105
-66993.7179,8290.0935,-66.9937179,8.2900935,23.0062821,8.2900935,106
-68272.5541,11410.0269,-68.2725541,11.4100269,21.7274459,11.4100269,107
-65778.9054,12810.0269,-65.7789054,12.8100269,24.2210946,12.8100269,108
-68272.5541,12810.0269,-68.2725541,12.8100269,21.7274459,12.8100269,109
-65778.9054,11410.0269,-65.7789054,11.4100269,24.2210946,11.4100269,110
-64019.3788,5823.921,-64.0193788,5.823921,25.9806212,5.823921,111
-76986.4833,12039.1796,-76.9864833,12.0391796,13.0135167,12.0391796,112
-75586.4833,12039.1796,-75.5864833,12.0391796,14.4135167,12.0391796,113
-74175.9489,12039.1796,-74.1759489,12.0391796,15.8240511,12.0391796,114
-78856.2053,12967.2368,-78.8562053,12.9672368,11.1437947,12.9672368,115
-74175.9489,13942.0797,-74.1759489,13.9420797,15.8240511,13.9420797,116
-75586.4833,13942.0797,-75.5864833,13.9420797,14.4135167,13.9420797,117
-76986.4833,13942.0797,-76.9864833,13.9420797,13.0135167,13.9420797,118
-67289.1008,4849.078,-67.2891008,4.849078,22.7108992,4.849078,119
-68699.6352,6751.9782,-68.6996352,6.7519782,21.3003648,6.7519782,120
-67289.1008,6751.9782,-67.2891008,6.7519782,22.7108992,6.7519782,121
-65889.1008,6751.9782,-65.8891008,6.7519782,24.1108992,6.7519782,122
-70110.1696,6751.9782,-70.1101696,6.7519782,19.8898304,6.7519782,123
-68699.6352,4849.078,-68.6996352,4.849078,21.3003648,4.849078,124
-70110.1696,4849.078,-70.1101696,4.849078,19.8898304,4.849078,125
-72134.0963,5777.1352,-72.1340963,5.7771352,17.8659037,5.7771352,126
-40575.7366,13016.8478,-40.5757366,13.0168478,49.4242634,13.0168478,127
-68166.7076,18705.613,-68.1667076,18.705613,21.8332924,18.705613,128
-68166.7076,19968.6463,-68.1667076,19.9686463,21.8332924,19.9686463,129
-68166.7076,21379.1807,-68.1667076,21.3791807,21.8332924,21.3791807,130
-65673.059,18705.613,-65.673059,18.705613,24.326941,18.705613,131
-65051.2622,21507.5994,-65.0512622,21.5075994,24.9487378,21.5075994,132
